id,name,description,gif_url
1,Happy Pu,Always wagging its tail and spreading joy.,http://michiapi.sebastianhernandez.dev/images/doggos/happy pu-dog.gif
2,SleepyDo,The champion of long naps and lazy afternoons.,http://michiapi.sebastianhernandez.dev/images/doggos/sleepydo-dog.gif
3,PlayfulPooc,Enthusiastically chasing after balls and playing fetch.,http://michiapi.sebastianhernandez.dev/images/doggos/playfulpooc-dog.gif
4,CoolCanin,Too cool for school with stylish sunglasses and a laid-back attitude.,http://michiapi.sebastianhernandez.dev/images/doggos/coolcanin-dog.gif
5,EnergeticExplore,Ready for outdoor adventures and exploring new territories.,http://michiapi.sebastianhernandez.dev/images/doggos/energeticexplore-dog.gif
6,SmartyTail,"Wise beyond its dog year, solving wuzzles with ease.",http://michiapi.sebastianhernandez.dev/images/doggos/smartytail-dog.gif
7,FoodieFid,"The ultimate food connoisseu, always on the hunt for delicious treats.",http://michiapi.sebastianhernandez.dev/images/doggos/foodiefid-dog.gif
8,CuddlyCompanion,"A loyal friend, offering warmth and comfort through cuddles.",http://michiapi.sebastianhernandez.dev/images/doggos/cuddlycompanion-dog.gif
9,SillyPu,Bringing laughter with its goofy antics and playful behavior.,http://michiapi.sebastianhernandez.dev/images/doggos/sillypu-dog.gif
10,BraveBarke,"Fearlessly alert, guarding its territory with loud barks.",http://michiapi.sebastianhernandez.dev/images/doggos/bravebarke-dog.gif
